# Time: 2018-09-18T16:14:29+02:00
# Header Rows: 22
# File Format: 2
# Device: APE PulseLink 150
# Serial: S07038
# Firmware: 787
# Software: 1.8.5.1
# Sensitivity: 1
# Gain: 270
# Scan Range [ps]: 1.5
# Filter ACF: 0
# Average: 0
# Trigger: 0
# Trigger Frequency [Hz]: N/A
# ACF [ps]: 0.000
# Fit Type: None
# Fit Pulse Duration [ps]: 0.000
# FWHM Valid: 0
# ==========
# Delay [ps]	Intensity [arb.u.]
# ==========
0.684284	0.187926
0.683984	0.192048
0.683595	0.195007
0.683227	0.196104
0.682877	0.191616
0.682525	0.187693
0.682215	0.185665
0.681860	0.188524
0.681505	0.191649
0.681192	0.197733
0.680832	0.197899
0.680492	0.193577
0.680155	0.187128
0.679753	0.186097
0.679416	0.187992
0.679075	0.192646
0.678733	0.197566
0.678410	0.195971
0.678062	0.191716
0.677781	0.188291
0.677432	0.184535
0.676928	0.188258
0.676581	0.194109
0.676214	0.197899
0.675893	0.198697
0.675504	0.195339
0.675161	0.187460
0.674753	0.185865
0.674410	0.187527
0.674063	0.195937
0.673777	0.199827
0.673378	0.201722
0.673024	0.194109
0.672647	0.188757
0.672225	0.185300
0.671868	0.187494
0.671556	0.195871
0.671134	0.199893
0.670780	0.200658
0.670446	0.197899
0.670111	0.190186
0.669729	0.183371
0.669390	0.189189
0.669052	0.195937
0.668670	0.204681
0.668285	0.200625
0.667898	0.198198
0.667531	0.187926
0.667210	0.182274
0.666934	0.187660
0.666527	0.199062
0.666164	0.206775
0.665781	0.205279
0.665465	0.197101
0.665147	0.189388
0.664761	0.182507
0.664485	0.188757
0.664164	0.201024
0.663777	0.208404
0.663433	0.207074
0.663025	0.197300
0.662708	0.185898
0.662369	0.183172
0.662076	0.187793
0.661737	0.202520
0.661374	0.207839
0.660968	0.203816
0.660583	0.196336
0.660306	0.184668
0.659941	0.180845
0.659554	0.191682
0.659235	0.206609
0.658913	0.212626
0.658500	0.206044
0.658063	0.193810
0.657688	0.184003
0.657312	0.182108
0.656869	0.195572
0.656493	0.207872
0.656160	0.213490
0.655828	0.204814
0.655520	0.192081
0.655191	0.179515
0.654795	0.184635
0.654399	0.200625
0.654003	0.214188
0.653627	0.215751
0.653229	0.203683
0.652898	0.186629
0.652542	0.179615
0.652185	0.187660
0.651824	0.205545
0.651373	0.218277
0.650986	0.212792
0.650574	0.197300
0.650137	0.181344
0.649766	0.180114
0.649324	0.194907
0.648947	0.214687
0.648546	0.221003
0.648141	0.208404
0.647866	0.189422
0.647457	0.177421
0.647112	0.183039
0.646721	0.203318
0.646371	0.221601
0.645974	0.220804
0.645574	0.203517
0.645218	0.184568
0.644815	0.176889
0.644428	0.192181
0.644084	0.211961
0.643673	0.225757
0.643282	0.215318
0.642868	0.192846
0.642499	0.177321
0.642108	0.181244
0.641713	0.204415
0.641359	0.223696
0.640961	0.224194
0.640561	0.206642
0.640206	0.182474
0.639719	0.176789
0.639276	0.193677
0.638875	0.217380
0.638406	0.230278
0.637958	0.217280
0.637486	0.191716
0.637125	0.176191
0.636674	0.183538
0.636223	0.209335
0.635860	0.233170
0.635387	0.228516
0.635024	0.204548
0.634593	0.181177
0.634183	0.175892
0.633751	0.197101
0.633341	0.223862
0.632929	0.234267
0.632561	0.217213
0.632214	0.186729
0.631800	0.172534
0.631320	0.186962
0.630886	0.216515
0.630519	0.237924
0.630152	0.224760
0.629716	0.197035
0.629298	0.173664
0.628922	0.178917
0.628480	0.209401
0.628081	0.237326
0.627681	0.235697
0.627261	0.208703
0.626863	0.177255
0.626395	0.171038
0.625927	0.197799
0.625503	0.231741
0.625053	0.241182
0.624602	0.218078
0.624171	0.185532
0.623763	0.169043
0.623419	0.191450
0.623053	0.227253
0.622621	0.244872
0.622165	0.227585
0.621708	0.191616
0.621317	0.169110
0.620881	0.182607
0.620489	0.219873
0.620073	0.247631
0.619679	0.233935
0.619327	0.198431
0.618972	0.170506
0.618573	0.175459
0.618172	0.214521
0.617792	0.249061
0.617343	0.242212
0.616981	0.204946
0.616617	0.170739
0.616209	0.171204
0.615780	0.209634
0.615371	0.247831
0.615006	0.248363
0.614533	0.210398
0.614127	0.171836
0.613721	0.168545
0.613337	0.205711
0.612864	0.247066
0.612501	0.251354
0.612133	0.214687
0.611717	0.173963
0.611298	0.167115
0.610855	0.201855
